epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,22065.7,1.8718,1.139,0.00297,0.72509,0.6061,0.67695,0.35131,1.71111,1.03575,0.00379,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,22739,1.87231,1.14048,0.00297,0.72502,0.6071,0.67747,0.35177,1.71037,1.03506,0.00379,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,23414.5,1.87022,1.1391,0.00297,0.72598,0.60672,0.6779,0.35202,1.71005,1.03368,0.00379,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,24086,1.86564,1.13802,0.00296,0.7253,0.60732,0.67823,0.35244,1.70936,1.03302,0.00378,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,24762.2,1.87078,1.13779,0.00296,0.72804,0.60499,0.67848,0.35252,1.70867,1.03242,0.00378,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,25436.4,1.86537,1.13295,0.00297,0.72971,0.60528,0.67922,0.35304,1.7085,1.03071,0.00378,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,26107.9,1.86696,1.13241,0.00297,0.72967,0.60519,0.67973,0.35345,1.70796,1.02969,0.00378,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,26779.6,1.86653,1.13275,0.00295,0.73002,0.60564,0.68025,0.35373,1.70737,1.02866,0.00378,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,27451.1,1.86606,1.12804,0.00295,0.73012,0.6064,0.68096,0.35411,1.70704,1.02712,0.00378,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,28127.1,1.86347,1.12999,0.00295,0.73038,0.60669,0.68128,0.35445,1.70674,1.02611,0.00377,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,28801.3,1.86412,1.13049,0.00295,0.73026,0.60699,0.68179,0.35477,1.70633,1.02543,0.00377,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,29471.9,1.85804,1.12227,0.00295,0.73159,0.60725,0.68221,0.35498,1.70583,1.02466,0.00377,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,30141.9,1.85947,1.12427,0.00294,0.73057,0.60842,0.68269,0.35541,1.70521,1.02391,0.00377,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,30812.5,1.8572,1.12464,0.00294,0.73211,0.60799,0.68315,0.35569,1.70452,1.02301,0.00376,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,31481,1.8572,1.12503,0.00295,0.73205,0.60825,0.68361,0.35599,1.70406,1.02193,0.00376,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,32154.8,1.85908,1.12212,0.00293,0.73348,0.60852,0.68436,0.35646,1.70337,1.02119,0.00376,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,32827.2,1.85624,1.11703,0.00293,0.73548,0.60803,0.68484,0.35669,1.70271,1.02033,0.00376,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,33500.6,1.84981,1.11639,0.00292,0.73556,0.60877,0.68534,0.35687,1.70231,1.01981,0.00376,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,34180.4,1.8522,1.11722,0.00292,0.7356,0.61066,0.68638,0.35746,1.70162,1.019,0.00375,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,34863.5,1.85154,1.11156,0.00292,0.73638,0.611,0.68671,0.35768,1.70094,1.01853,0.00375,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,35538,1.84935,1.11192,0.00291,0.73615,0.61186,0.68692,0.35785,1.70084,1.01774,0.00375,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,36220.8,1.84957,1.1114,0.00292,0.73585,0.61262,0.68739,0.35816,1.70032,1.01714,0.00375,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,36910.1,1.85157,1.11241,0.00291,0.73599,0.61333,0.68803,0.35842,1.70003,1.01633,0.00374,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,37585.3,1.84772,1.1075,0.00291,0.73785,0.61316,0.68849,0.3587,1.69973,1.01526,0.00374,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,38261.3,1.84933,1.10808,0.00291,0.7381,0.61325,0.68889,0.35876,1.699,1.01487,0.00374,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,38937.5,1.84566,1.10376,0.0029,0.73878,0.61361,0.68948,0.35904,1.69898,1.01372,0.00374,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,39614.7,1.84587,1.1053,0.0029,0.7394,0.61447,0.69026,0.35945,1.69841,1.01292,0.00374,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,40289.4,1.83824,1.10127,0.0029,0.7397,0.61492,0.6906,0.35953,1.69813,1.01185,0.00373,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,40964.4,1.83941,1.09743,0.0029,0.74094,0.61516,0.69123,0.3599,1.69764,1.01131,0.00373,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,41637.9,1.84312,1.09994,0.00288,0.74163,0.61503,0.69144,0.36014,1.69727,1.01099,0.00373,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,42312.8,1.84076,1.10021,0.00288,0.74104,0.6152,0.69143,0.36024,1.69702,1.01051,0.00373,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,42987.9,1.84025,1.09623,0.00286,0.73954,0.61609,0.69152,0.36046,1.69686,1.00951,0.00373,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,43658.9,1.83473,1.09307,0.00287,0.74012,0.61593,0.69195,0.36052,1.6966,1.00911,0.00372,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,44332.7,1.83335,1.09194,0.00287,0.74113,0.61594,0.69247,0.36069,1.69674,1.00801,0.00372,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,45005.5,1.83203,1.09181,0.00287,0.74104,0.61622,0.69261,0.36102,1.69636,1.00754,0.00372,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,45676.8,1.83552,1.0942,0.00287,0.7418,0.61604,0.69279,0.36124,1.69557,1.00772,0.00372,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,46352.3,1.83253,1.08714,0.00286,0.743,0.61565,0.69299,0.3615,1.69538,1.00689,0.00372,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,47024.8,1.82573,1.08418,0.00286,0.74324,0.61588,0.69315,0.36168,1.69474,1.00693,0.00372,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,47698.4,1.82852,1.08307,0.00284,0.74229,0.61634,0.69339,0.36187,1.69435,1.00683,0.00371,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,48372.7,1.82725,1.08301,0.00284,0.74068,0.61735,0.6934,0.36202,1.6941,1.00637,0.00371,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,49042.8,1.82457,1.08134,0.00284,0.74164,0.61687,0.69358,0.36217,1.69369,1.00615,0.00371,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,49715,1.8223,1.07804,0.00282,0.74229,0.61706,0.69395,0.36238,1.69326,1.00588,0.00371,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,50388,1.81606,1.07695,0.00283,0.74268,0.61724,0.69405,0.36239,1.69292,1.00548,0.00371,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,51060.2,1.82233,1.07363,0.00281,0.74298,0.6176,0.69457,0.36252,1.69264,1.00521,0.00371,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,51732.7,1.82232,1.07454,0.00281,0.74395,0.61733,0.69486,0.36276,1.69235,1.00522,0.00371,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,52405.5,1.81781,1.06838,0.00282,0.74482,0.61719,0.69519,0.36291,1.69217,1.00468,0.0037,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
